area_type,location,size,total_sqft,bath,balcony,price,no_of_bedrooms,price_per_sqft
Super built-up  Area,2nd Phase Judicial Layout,2 BHK,1150,2,1,40.25,2,3500
Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1500,4,2,220,4,14666.66667
Plot  Area,2nd Stage Nagarbhavi,6 Bedroom,3000,8,3,451,6,15033.33333
Plot  Area,2nd Stage Nagarbhavi,6 Bedroom,2400,8,3,450,6,18750
Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1350,4,1,200,4,14814.81481
Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1200,4,1,225,4,18750
Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1500,3,2,230,4,15333.33333
Super built-up  Area,5th Block Hbr Layout,2 BHK,1206,2,2,56,2,4643.44942
Super built-up  Area,5th Block Hbr Layout,3 BHK,1270,2,2,70,3,5511.811024
Super built-up  Area,5th Block Hbr Layout,2 BHK,1312,2,3,69,2,5259.146341
Super built-up  Area,5th Block Hbr Layout,2 BHK,1100,2,2,48,2,4363.636364
Built-up  Area,5th Block Hbr Layout,5 Bedroom,3600,5,3,130,5,3611.111111
Built-up  Area,5th Block Hbr Layout,6 BHK,5100,5,3,300,6,5882.352941
Super built-up  Area,5th Phase JP Nagar,2 BHK,1075,2,2,60,2,5581.395349
Built-up  Area,5th Phase JP Nagar,2 BHK,1150,3,3,52.5,2,4565.217391
Built-up  Area,5th Phase JP Nagar,2 BHK,1256,2,1,62.8,2,5000
Super built-up  Area,5th Phase JP Nagar,2 BHK,1207,2,2,63,2,5219.55261
Built-up  Area,5th Phase JP Nagar,3 BHK,1725,2,2,100,3,5797.101449
Super built-up  Area,5th Phase JP Nagar,2 BHK,1440,2,2,60,2,4166.666667
Built-up  Area,5th Phase JP Nagar,3 BHK,1700,2,3,100,3,5882.352941
Super built-up  Area,5th Phase JP Nagar,3 BHK,1485,2,2,67,3,4511.784512
Super built-up  Area,5th Phase JP Nagar,5 BHK,2500,5,2,110,5,4400
Built-up  Area,5th Phase JP Nagar,1 BHK,600,1,1,30,1,5000
Super built-up  Area,5th Phase JP Nagar,2 BHK,1390,2,2,65,2,4676.258993
Built-up  Area,5th Phase JP Nagar,2 BHK,1256,2,1,62.8,2,5000
Super built-up  Area,5th Phase JP Nagar,2 BHK,1000,2,0,48,2,4800
Super built-up  Area,5th Phase JP Nagar,3 BHK,1350,2,1,75,3,5555.555556
Super built-up  Area,5th Phase JP Nagar,1 BHK,552,1,1,23.5,1,4257.246377
Super built-up  Area,5th Phase JP Nagar,2 BHK,1200,2,2,51,2,4250
Super built-up  Area,5th Phase JP Nagar,3 BHK,1240,3,2,60,3,4838.709677
Built-up  Area,5th Phase JP Nagar,3 BHK,1550,3,3,75,3,4838.709677
Super built-up  Area,5th Phase JP Nagar,3 BHK,1485,2,1,66,3,4444.444444
Built-up  Area,5th Phase JP Nagar,2 BHK,1030,2,2,57,2,5533.980583
Super built-up  Area,5th Phase JP Nagar,2 BHK,1200,2,1,68,2,5666.666667
Built-up  Area,5th Phase JP Nagar,2 BHK,1190,2,2,61.8,2,5193.277311
Super built-up  Area,5th Phase JP Nagar,5 BHK,4000,5,2,170,5,4250
Super built-up  Area,5th Phase JP Nagar,2 BHK,1080,2,1,53,2,4907.407407
Super built-up  Area,5th Phase JP Nagar,2 BHK,1041,2,2,54,2,5187.319885
Super built-up  Area,5th Phase JP Nagar,2 BHK,812,2,1,42,2,5172.413793
Built-up  Area,5th Phase JP Nagar,2 BHK,1010,2,2,57,2,5643.564356
Super built-up  Area,5th Phase JP Nagar,3 BHK,1450,2,2,73,3,5034.482759
Super built-up  Area,5th Phase JP Nagar,2 BHK,1075,2,2,60,2,5581.395349
Super built-up  Area,6th Phase JP Nagar,2 BHK,1192,2,2,74,2,6208.053691
Super built-up  Area,6th Phase JP Nagar,2 BHK,1180,2,3,80,2,6779.661017
Super built-up  Area,6th Phase JP Nagar,4 BHK,3245,4,2,250,4,7704.160247
Built-up  Area,6th Phase JP Nagar,3 BHK,1645,3,3,100,3,6079.027356
Built-up  Area,6th Phase JP Nagar,2 BHK,1140,2,2,65,2,5701.754386
Super built-up  Area,6th Phase JP Nagar,3 BHK,2040,3,2,200,3,9803.921569
Super built-up  Area,6th Phase JP Nagar,2 BHK,1213,2,1,63,2,5193.734542
Built-up  Area,6th Phase JP Nagar,2 BHK,1216,2,2,60,2,4934.210526
Super built-up  Area,6th Phase JP Nagar,2 BHK,1460,2,2,80,2,5479.452055
Super built-up  Area,6th Phase JP Nagar,3 BHK,2003,3,3,200,3,9985.022466
Super built-up  Area,6th Phase JP Nagar,3 BHK,1810,3,3,131,3,7237.569061
Super built-up  Area,6th Phase JP Nagar,3 BHK,1515,2,2,135,3,8910.891089
Super built-up  Area,6th Phase JP Nagar,2 BHK,1192,2,3,75,2,6291.946309
Super built-up  Area,6th Phase JP Nagar,2 BHK,1280,2,1,88,2,6875
Built-up  Area,7th Phase JP Nagar,2 BHK,1080,2,2,72,2,6666.666667
Super built-up  Area,7th Phase JP Nagar,2 BHK,1270,2,2,93,2,7322.834646
Built-up  Area,7th Phase JP Nagar,3 BHK,1420,2,1,100,3,7042.253521
Built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,1,150,3,8108.108108
Built-up  Area,7th Phase JP Nagar,2 BHK,1245,2,1,94,2,7550.200803
Super built-up  Area,7th Phase JP Nagar,2 BHK,1175,2,1,82,2,6978.723404
Super built-up  Area,7th Phase JP Nagar,3 BHK,1400,2,1,95,3,6785.714286
Super built-up  Area,7th Phase JP Nagar,3 BHK,2225,3,1,160,3,7191.011236
Built-up  Area,7th Phase JP Nagar,2 BHK,1050,2,1,71,2,6761.904762
Super built-up  Area,7th Phase JP Nagar,2 BHK,1100,2,0,46,2,4181.818182
Built-up  Area,7th Phase JP Nagar,2 BHK,918,2,1,50.49,2,5500
Super built-up  Area,7th Phase JP Nagar,3 BHK,1450,2,1,100,3,6896.551724
Super built-up  Area,7th Phase JP Nagar,2 BHK,1190,2,1,49.98,2,4200
Super built-up  Area,7th Phase JP Nagar,3 BHK,1420,2,2,96,3,6760.56338
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,120,3,7142.857143
Super built-up  Area,7th Phase JP Nagar,2 BHK,980,2,2,69,2,7040.816327
Super built-up  Area,7th Phase JP Nagar,2 BHK,1180,2,2,72,2,6101.694915
Built-up  Area,7th Phase JP Nagar,3 BHK,1050,2,1,57,3,5428.571429
Super built-up  Area,7th Phase JP Nagar,3 BHK,1343,2,2,56.41,3,4200.297841
Super built-up  Area,7th Phase JP Nagar,3 BHK,1405,2,2,59.01,3,4200
Built-up  Area,7th Phase JP Nagar,3 BHK,1400,3,1,115,3,8214.285714
Super built-up  Area,7th Phase JP Nagar,2 BHK,1270,2,1,83,2,6535.433071
Built-up  Area,7th Phase JP Nagar,4 Bedroom,3300,4,0,150,4,4545.454545
Super built-up  Area,7th Phase JP Nagar,4 BHK,2503,4,0,188,4,7510.986816
Super built-up  Area,7th Phase JP Nagar,3 BHK,2200,3,2,190,3,8636.363636
Super built-up  Area,7th Phase JP Nagar,3 BHK,1250,3,2,65,3,5200
Super built-up  Area,7th Phase JP Nagar,3 BHK,1385,2,2,58.17,3,4200
Super built-up  Area,7th Phase JP Nagar,3 BHK,1575,2,2,110,3,6984.126984
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,2,140,3,7567.567568
Built-up  Area,7th Phase JP Nagar,3 BHK,1575,2,2,120,3,7619.047619
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,2,150,3,8108.108108
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,120,3,7142.857143
Super built-up  Area,7th Phase JP Nagar,2 BHK,1175,2,2,82.5,2,7021.276596
Built-up  Area,7th Phase JP Nagar,3 Bedroom,3300,4,3,160,3,4848.484848
Plot  Area,7th Phase JP Nagar,3 Bedroom,2200,4,2,105,3,4772.727273
Super built-up  Area,7th Phase JP Nagar,2 BHK,1215,2,2,90,2,7407.407407
Super built-up  Area,7th Phase JP Nagar,2 BHK,1050,2,1,75,2,7142.857143
Super built-up  Area,7th Phase JP Nagar,3 BHK,1300,3,2,89.13,3,6856.153846
Super built-up  Area,7th Phase JP Nagar,2 BHK,1130,2,2,73,2,6460.176991
Super built-up  Area,7th Phase JP Nagar,3 BHK,1450,3,2,100,3,6896.551724
Super built-up  Area,7th Phase JP Nagar,3 BHK,1350,3,2,58,3,4296.296296
Super built-up  Area,7th Phase JP Nagar,2 BHK,1050,2,1,50,2,4761.904762
Super built-up  Area,7th Phase JP Nagar,2 BHK,1275,2,1,87,2,6823.529412
Built-up  Area,7th Phase JP Nagar,3 BHK,1460,3,1,70,3,4794.520548
Super built-up  Area,7th Phase JP Nagar,3 BHK,1650,3,2,110,3,6666.666667
Built-up  Area,7th Phase JP Nagar,2 BHK,850,2,2,42,2,4941.176471
Built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,117,3,6964.285714
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,1,150,3,8108.108108
Super built-up  Area,7th Phase JP Nagar,2 BHK,1236,2,2,61.33,2,4961.97411
Super built-up  Area,7th Phase JP Nagar,2 BHK,1000,2,2,53,2,5300
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,125,3,7440.47619
Super built-up  Area,7th Phase JP Nagar,3 BHK,1675,2,2,135,3,8059.701493
Super built-up  Area,7th Phase JP Nagar,2 BHK,1187,2,1,59,2,4970.513901
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,2,155,3,8378.378378
Built-up  Area,7th Phase JP Nagar,2 BHK,1000,2,1,61,2,6100
Super built-up  Area,7th Phase JP Nagar,3 BHK,1460,2,2,100,3,6849.315068
Super built-up  Area,7th Phase JP Nagar,3 BHK,1650,3,3,110,3,6666.666667
Super built-up  Area,7th Phase JP Nagar,2 BHK,1200,2,2,62.5,2,5208.333333
Super built-up  Area,7th Phase JP Nagar,2 BHK,1000,2,1,70.65,2,7065
Super built-up  Area,7th Phase JP Nagar,2 BHK,1080,2,2,75,2,6944.444444
Built-up  Area,7th Phase JP Nagar,3 BHK,1415,3,1,65,3,4593.639576
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,3,125,3,7440.47619
Super built-up  Area,7th Phase JP Nagar,3 BHK,1460,2,1,97,3,6643.835616
Built-up  Area,7th Phase JP Nagar,2 BHK,1120,2,2,65,2,5803.571429
Super built-up  Area,7th Phase JP Nagar,2 BHK,1100,3,1,60,2,5454.545455
Super built-up  Area,7th Phase JP Nagar,3 BHK,1790,3,3,120,3,6703.910615
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,117,3,6964.285714
Super built-up  Area,7th Phase JP Nagar,2 BHK,1050,2,1,77,2,7333.333333
Super built-up  Area,7th Phase JP Nagar,2 BHK,1050,2,1,75,2,7142.857143
Super built-up  Area,7th Phase JP Nagar,2 BHK,1040,2,1,75,2,7211.538462
Super built-up  Area,7th Phase JP Nagar,3 BHK,1400,2,1,95,3,6785.714286
Super built-up  Area,7th Phase JP Nagar,3 BHK,1800,3,2,130,3,7222.222222
Super built-up  Area,7th Phase JP Nagar,2 BHK,1050,2,0,68,2,6476.190476
Built-up  Area,7th Phase JP Nagar,2 BHK,1000,2,2,60,2,6000
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,125,3,7440.47619
Super built-up  Area,7th Phase JP Nagar,2 BHK,1050,2,1,77.47,2,7378.095238
Super built-up  Area,7th Phase JP Nagar,2 BHK,1270,2,1,80,2,6299.212598
Super built-up  Area,7th Phase JP Nagar,3 BHK,1463,2,1,61.45,3,4200.273411
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,122,3,7261.904762
Super built-up  Area,7th Phase JP Nagar,2 BHK,1130,2,2,85,2,7522.123894
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,3,130,3,7738.095238
Built-up  Area,7th Phase JP Nagar,2 BHK,980,2,1,77.44,2,7902.040816
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,3,2,112,3,6666.666667
Super built-up  Area,7th Phase JP Nagar,3 BHK,1515,2,1,76,3,5016.50165
Super built-up  Area,7th Phase JP Nagar,3 BHK,2095,3,2,150,3,7159.904535
Super built-up  Area,7th Phase JP Nagar,3 BHK,1976,3,1,145,3,7338.05668
Super built-up  Area,7th Phase JP Nagar,3 BHK,1600,2,2,110,3,6875
Super built-up  Area,7th Phase JP Nagar,3 BHK,1765,3,2,118,3,6685.552408
Built-up  Area,7th Phase JP Nagar,3 BHK,1275,2,2,88,3,6901.960784
Super built-up  Area,7th Phase JP Nagar,3 BHK,1450,2,1,102,3,7034.482759
Super built-up  Area,7th Phase JP Nagar,3 BHK,1575,2,2,110,3,6984.126984
Built-up  Area,7th Phase JP Nagar,3 BHK,1075,2,1,57,3,5302.325581
Super built-up  Area,7th Phase JP Nagar,1 BHK,750,1,2,47,1,6266.666667
Super built-up  Area,7th Phase JP Nagar,2 BHK,990,2,2,50,2,5050.505051
Plot  Area,7th Phase JP Nagar,1 Bedroom,1000,1,1,60,1,6000
Built-up  Area,7th Phase JP Nagar,2 BHK,1080,2,1,51,2,4722.222222
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,2,3,92,3,5476.190476
Super built-up  Area,7th Phase JP Nagar,3 BHK,1430,2,1,102,3,7132.867133
Super built-up  Area,7th Phase JP Nagar,2 BHK,1128,2,1,60,2,5319.148936
Built-up  Area,7th Phase JP Nagar,2 BHK,1140,2,1,57,2,5000
Super built-up  Area,7th Phase JP Nagar,3 BHK,1420,3,2,90,3,6338.028169
Super built-up  Area,7th Phase JP Nagar,2 BHK,1530,2,1,108,2,7058.823529
Super built-up  Area,8th Phase JP Nagar,2 BHK,1073.5,2,0,54.005,2,5030.740568
Super built-up  Area,8th Phase JP Nagar,1 BHK,451,1,0,29.9,1,6629.711752
Super built-up  Area,8th Phase JP Nagar,3 BHK,1240,3,2,43.5,3,3508.064516
Super built-up  Area,8th Phase JP Nagar,2 BHK,1062,2,1,42.47,2,3999.05838
Super built-up  Area,8th Phase JP Nagar,3 BHK,1230,2,2,43.5,3,3536.585366
Super built-up  Area,8th Phase JP Nagar,3 BHK,1455,3,2,73.31,3,5038.487973
Super built-up  Area,8th Phase JP Nagar,2 BHK,871,2,2,55,2,6314.580941
Super built-up  Area,8th Phase JP Nagar,2 BHK,1098,2,1,43.91,2,3999.089253
Super built-up  Area,8th Phase JP Nagar,3 BHK,1800,3,1,80,3,4444.444444
Built-up  Area,8th Phase JP Nagar,4 Bedroom,2700,4,2,130,4,4814.814815
Super built-up  Area,8th Phase JP Nagar,2 BHK,1080,2,2,38,2,3518.518519
Super built-up  Area,8th Phase JP Nagar,2 BHK,1059,2,2,34.5,2,3257.790368
Super built-up  Area,8th Phase JP Nagar,2 BHK,1080,2,2,35,2,3240.740741
Super built-up  Area,8th Phase JP Nagar,3 BHK,1275,2,2,41.5,3,3254.901961
Super built-up  Area,8th Phase JP Nagar,2 BHK,1062,2,1,42.47,2,3999.05838
Super built-up  Area,8th Phase JP Nagar,1 BHK,500,1,1,31,1,6200
Super built-up  Area,8th Phase JP Nagar,2 BHK,1100,2,2,35,2,3181.818182
Super built-up  Area,8th Phase JP Nagar,4 BHK,2100,4,3,92,4,4380.952381
Super built-up  Area,8th Phase JP Nagar,2 BHK,1035,2,1,39.33,2,3800
Super built-up  Area,8th Phase JP Nagar,2 BHK,909,2,1,40.9,2,4499.449945
Super built-up  Area,8th Phase JP Nagar,3 BHK,1431.5,3,0,72.02,3,5031.086273
Built-up  Area,8th Phase JP Nagar,3 Bedroom,1900,4,1,90,3,4736.842105
Super built-up  Area,8th Phase JP Nagar,1 BHK,500,1,1,30,1,6000
Super built-up  Area,8th Phase JP Nagar,2 BHK,1125,2,2,36.94,2,3283.555556
Super built-up  Area,8th Phase JP Nagar,2 BHK,1100,2,3,35,2,3181.818182
Super built-up  Area,8th Phase JP Nagar,2 BHK,1089,2,1,43.55,2,3999.081726
Super built-up  Area,8th Phase JP Nagar,3 BHK,1605,2,2,65,3,4049.844237
Super built-up  Area,8th Phase JP Nagar,3 BHK,1504,2,2,83,3,5518.617021
Built-up  Area,8th Phase JP Nagar,4 Bedroom,2600,4,2,115,4,4423.076923
Super built-up  Area,8th Phase JP Nagar,3 BHK,1368,2,1,54.71,3,3999.269006
Super built-up  Area,8th Phase JP Nagar,2 BHK,1089,2,1,43.55,2,3999.081726
Super built-up  Area,8th Phase JP Nagar,3 BHK,1224,2,2,48.95,3,3999.183007
Super built-up  Area,8th Phase JP Nagar,2 BHK,1513,2,3,62,2,4097.818903
Built-up  Area,8th Phase JP Nagar,2 BHK,1298,2,1,59,2,4545.454545
Built-up  Area,8th Phase JP Nagar,2 BHK,1006,2,0,44,2,4373.757455
Carpet  Area,8th Phase JP Nagar,1 BHK,500,1,1,33,1,6600
Super built-up  Area,8th Phase JP Nagar,2 BHK,1160,2,1,95,2,8189.655172
Super built-up  Area,8th Phase JP Nagar,2 BHK,1245,2,1,59,2,4738.955823
Super built-up  Area,8th Phase JP Nagar,2 BHK,1510,2,3,80,2,5298.013245
Super built-up  Area,8th Phase JP Nagar,3 BHK,3300,3,2,165,3,5000
Built-up  Area,8th Phase JP Nagar,5 Bedroom,1730,5,2,75,5,4335.260116
Super built-up  Area,8th Phase JP Nagar,3 BHK,1296,2,2,51.83,3,3999.228395
Super built-up  Area,8th Phase JP Nagar,3 BHK,1275,3,2,45,3,3529.411765
Super built-up  Area,8th Phase JP Nagar,2 BHK,1046,2,1,48,2,4588.910134
Super built-up  Area,8th Phase JP Nagar,3 BHK,1269,2,3,50.75,3,3999.211978
Super built-up  Area,8th Phase JP Nagar,3 BHK,1408,3,2,80,3,5681.818182
Super built-up  Area,8th Phase JP Nagar,3 BHK,1500,2,3,55,3,3666.666667
Super built-up  Area,9th Phase JP Nagar,2 BHK,1005,2,1,50,2,4975.124378
Built-up  Area,9th Phase JP Nagar,3 BHK,1890,2,2,85,3,4497.354497
Super built-up  Area,9th Phase JP Nagar,2 BHK,1100,2,1,65,2,5909.090909
Super built-up  Area,9th Phase JP Nagar,2 BHK,1080,2,2,37,2,3425.925926
Built-up  Area,9th Phase JP Nagar,2 BHK,1035,2,1,45,2,4347.826087
Built-up  Area,9th Phase JP Nagar,4 BHK,5000,4,3,290,4,5800
Built-up  Area,9th Phase JP Nagar,2 BHK,1164,2,1,56,2,4810.996564
Super built-up  Area,9th Phase JP Nagar,2 BHK,1005,2,1,42,2,4179.104478
Super built-up  Area,9th Phase JP Nagar,2 BHK,1127,2,1,50,2,4436.557232
Super built-up  Area,9th Phase JP Nagar,2 BHK,1005,2,1,43,2,4278.606965
Built-up  Area,9th Phase JP Nagar,2 BHK,835,2,0,37,2,4431.137725
Super built-up  Area,9th Phase JP Nagar,2 BHK,1050,2,2,39,2,3714.285714
Super built-up  Area,9th Phase JP Nagar,2 BHK,660,2,0,27,2,4090.909091
Built-up  Area,9th Phase JP Nagar,1 BHK,600,1,0,20,1,3333.333333
Super built-up  Area,9th Phase JP Nagar,2 BHK,1466,2,2,71,2,4843.110505
Built-up  Area,9th Phase JP Nagar,3 BHK,1890,2,2,93,3,4920.634921
Super built-up  Area,9th Phase JP Nagar,2 BHK,1079,2,1,60,2,5560.704356
Super built-up  Area,9th Phase JP Nagar,2 BHK,1480,2,1,80,2,5405.405405
Plot  Area,9th Phase JP Nagar,2 Bedroom,1200,2,0,80,2,6666.666667
Super built-up  Area,9th Phase JP Nagar,2 BHK,905,2,1,32,2,3535.911602
Super built-up  Area,9th Phase JP Nagar,2 BHK,1073,2,1,52.36,2,4879.776328
Super built-up  Area,9th Phase JP Nagar,3 BHK,1719.3,2,2,88,3,5118.362124
Super built-up  Area,9th Phase JP Nagar,3 BHK,1780,3,2,88,3,4943.820225
Built-up  Area,9th Phase JP Nagar,3 BHK,1300,2,2,58,3,4461.538462
Super built-up  Area,9th Phase JP Nagar,3 BHK,1522,3,2,90,3,5913.272011
Super built-up  Area,9th Phase JP Nagar,3 BHK,1571,3,2,65,3,4137.492043
Built-up  Area,9th Phase JP Nagar,4 Bedroom,1900,4,2,80,4,4210.526316
Built-up  Area,9th Phase JP Nagar,2 BHK,890,2,2,45,2,5056.179775
Super built-up  Area,9th Phase JP Nagar,3 BHK,1240,2,2,39.89,3,3216.935484
Built-up  Area,9th Phase JP Nagar,4 BHK,5000,4,2,300,4,6000
Super built-up  Area,9th Phase JP Nagar,3 BHK,1240,2,2,42.85,3,3455.645161
Super built-up  Area,9th Phase JP Nagar,2 BHK,1050,2,2,35,2,3333.333333
Super built-up  Area,9th Phase JP Nagar,2 BHK,1331.95,2,2,69,2,5180.374639
Super built-up  Area,AECS Layout,2 BHK,1100,2,3,45,2,4090.909091
Super built-up  Area,AECS Layout,2 BHK,1028,2,1,42,2,4085.603113
Super built-up  Area,AECS Layout,2 BHK,1199,2,2,65,2,5421.18432
Super built-up  Area,AECS Layout,2 BHK,1080,2,2,55,2,5092.592593
Super built-up  Area,AECS Layout,2 BHK,1123,2,2,64,2,5699.020481
Super built-up  Area,AECS Layout,2 BHK,1308,2,1,60,2,4587.155963
Super built-up  Area,AECS Layout,2 BHK,1005,2,1,55,2,5472.636816
Built-up  Area,AECS Layout,3 BHK,2000,3,1,90,3,4500
Super built-up  Area,Abbigere,2 BHK,985,2,1,40.39,2,4100.507614
Built-up  Area,Abbigere,6 Bedroom,2200,6,2,68,6,3090.909091
Super built-up  Area,Abbigere,1 BHK,765,2,2,30,1,3921.568627
Super built-up  Area,Abbigere,2 BHK,880,2,1,35,2,3977.272727
Super built-up  Area,Abbigere,2 BHK,795,2,1,32.54,2,4093.081761
Super built-up  Area,Abbigere,2 BHK,1005,2,1,39.59,2,3939.303483
Super built-up  Area,Abbigere,1 BHK,734,1,0,19.82,1,2700.27248
Super built-up  Area,Abbigere,3 BHK,1260,2,1,45,3,3571.428571
Super built-up  Area,Abbigere,2 BHK,1020,2,1,41.82,2,4100
Super built-up  Area,Abbigere,2 BHK,985,2,1,40.39,2,4100.507614
Built-up  Area,Abbigere,6 Bedroom,2500,6,0,81,6,3240
Super built-up  Area,Abbigere,2 BHK,795,2,1,32.54,2,4093.081761
Super built-up  Area,Abbigere,2 BHK,1130,2,1,46.33,2,4100
Super built-up  Area,Abbigere,2 BHK,795,1,1,32.6,2,4100.628931
Built-up  Area,Abbigere,8 Bedroom,3000,8,0,150,8,5000
Super built-up  Area,Abbigere,2 BHK,985,2,1,38.92,2,3951.269036
Super built-up  Area,Abbigere,2 BHK,1000,2,1,41,2,4100
Super built-up  Area,Abbigere,2 BHK,995,2,1,40.8,2,4100.502513
Super built-up  Area,Abbigere,2 BHK,1020,2,1,40.8,2,4000
Super built-up  Area,Akshaya Nagar,2 BHK,1388,2,3,57,2,4106.628242
Super built-up  Area,Akshaya Nagar,2 BHK,1070,2,1,54,2,5046.728972
Built-up  Area,Akshaya Nagar,2 BHK,1280,2,2,58,2,4531.25
Built-up  Area,Akshaya Nagar,3 BHK,1662,3,3,85.1,3,5120.336943
Super built-up  Area,Akshaya Nagar,3 BHK,1897,3,2,120,3,6325.777543
Super built-up  Area,Akshaya Nagar,3 BHK,1410,2,2,75,3,5319.148936
Super built-up  Area,Akshaya Nagar,3 BHK,1360,2,2,85,3,6250
Super built-up  Area,Akshaya Nagar,3 BHK,1600,2,2,65,3,4062.5
Super built-up  Area,Akshaya Nagar,3 BHK,1410,2,2,80,3,5673.758865
Built-up  Area,Akshaya Nagar,3 BHK,1662,3,2,85,3,5114.320096
Built-up  Area,Akshaya Nagar,3 BHK,1662,3,2,85.5,3,5144.404332
Built-up  Area,Akshaya Nagar,2 BHK,1280,2,1,60,2,4687.5
Built-up  Area,Akshaya Nagar,3 BHK,1666,3,2,95,3,5702.280912
Super built-up  Area,Akshaya Nagar,3 BHK,1575,3,2,90,3,5714.285714
Super built-up  Area,Akshaya Nagar,3 BHK,1430,2,2,75,3,5244.755245
Built-up  Area,Akshaya Nagar,3 BHK,1419,2,3,73,3,5144.467935
Super built-up  Area,Akshaya Nagar,2 BHK,1280,2,1,60,2,4687.5
Super built-up  Area,Akshaya Nagar,2 BHK,1200,2,1,50,2,4166.666667
Super built-up  Area,Akshaya Nagar,2 BHK,1092,2,1,60,2,5494.505495
Super built-up  Area,Akshaya Nagar,3 BHK,1690,3,2,85,3,5029.585799
Super built-up  Area,Akshaya Nagar,3 BHK,1700,3,1,80,3,4705.882353
Super built-up  Area,Akshaya Nagar,3 BHK,1897,4,2,93,3,4902.477596
